id,name,description,n_tracks,href,images,snapshot_id
5eFKqgjQihGkGVph5B21Ws,08-24,lobotomate,45,https://api.spotify.com/v1/playlists/5eFKqgjQihGkGVph5B21Ws,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84db44fb757d860ddcdf84a98d', 'width': None}]",AAAANTD1zIpOBozfPMuPmZ57UTEdutDG
2vFxm48RVtewMhHPMgT47w,07-24,my congratulations to mr and mrs neely,92,https://api.spotify.com/v1/playlists/2vFxm48RVtewMhHPMgT47w,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84cc6e0f9efe58ed2e898eee9a', 'width': None}]",AAAAYn00fql2Xrex2zomFMoJmYuUmJUy
3ygfNX2fvuy0L0oBeO1nbW,06-24,,52,https://api.spotify.com/v1/playlists/3ygfNX2fvuy0L0oBeO1nbW,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846a75501c2ec91ee9cf27b9e0', 'width': None}]",AAAAOgiGsAduQCDXTrHHdHjt0tz+zWVb
7aY1h50D6OJmHTp1xQSilX,05-24,,60,https://api.spotify.com/v1/playlists/7aY1h50D6OJmHTp1xQSilX,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ada540b99e8c36328dcffcbc', 'width': None}]",AAAASSIWAe7O+BGiXDzGyKmeaw6oSc7I
59Kggn2HUJLF32lRJ8E3BP,04-24,,61,https://api.spotify.com/v1/playlists/59Kggn2HUJLF32lRJ8E3BP,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e1cf28cc07f8deab8d3f7cee', 'width': None}]",AAAAQFmtPB2WPVNrFBXZMwtZ20uccgNn
3OJb0ryvpzKmRlM2gi9mVl,03-24,,44,https://api.spotify.com/v1/playlists/3OJb0ryvpzKmRlM2gi9mVl,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da843f05d614160b5c436aa6d9c6', 'width': None}]",AAAAMrIo4yZ7KIjineYsUT1ZhYDTqQqF
0KcUGAlnSbipybA92HbUQj,02-24,what the people are crying out for,83,https://api.spotify.com/v1/playlists/0KcUGAlnSbipybA92HbUQj,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847ff32ea4984f364eea8a7bd6', 'width': None}]",AAAAX/0/qxaN2QWxRA0Y2mU+I5mJpmce
7ewWgiTUuOjSTfKhD0y1ve,01-24,abdominal snowman,127,https://api.spotify.com/v1/playlists/7ewWgiTUuOjSTfKhD0y1ve,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8493bf258f69190fc793f6511d', 'width': None}]",AAAAkEQZ+Q4ZfrVdnudPlAdGcWix2+Ty
5Eflnt6QCvraCMahzw0rC0,12 23,trustworthy!,90,https://api.spotify.com/v1/playlists/5Eflnt6QCvraCMahzw0rC0,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8436f3bc889b7ee86a4d3c2219', 'width': None}]",AAAAYtGCfpsLCFu1xxt0ecgx/8LjUZvj
7EK6zHUea4x1DZctXCPqJR,11 23,drums on toast,123,https://api.spotify.com/v1/playlists/7EK6zHUea4x1DZctXCPqJR,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841318f988a5cf401d925c314b', 'width': None}]",AAAAgPFGT7eqPDD59jn4Opbhcb1BoAtk
2tKgVzhTzTUox7KBFqvogE,10 23,hammy,60,https://api.spotify.com/v1/playlists/2tKgVzhTzTUox7KBFqvogE,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846c5a229f3aed5b30f96f876a', 'width': None}]",AAAAQxmb1t4R+n1gCNHkHlllmB7rWztX
5rzFh8i1mEVJpHFYAl0zDR,09 23,recommissioned ,79,https://api.spotify.com/v1/playlists/5rzFh8i1mEVJpHFYAl0zDR,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848df8b6fa17e999974e16ca28', 'width': None}]",AAAAVMbYWzoZZ6nrLPLknQXBLv838V3y
74F87M1tA8E23FSn8ZZUq2,08 23,,93,https://api.spotify.com/v1/playlists/74F87M1tA8E23FSn8ZZUq2,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a8ec9e2949a0783f19a3a716', 'width': None}]",AAAAZ9dY2rdxviSulPlikO4OAtZLcZBr
7A8VgVsfmf4ugQzU1Rz1tH,07 23,,72,https://api.spotify.com/v1/playlists/7A8VgVsfmf4ugQzU1Rz1tH,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a2adf4fed9571da456a5fbe5', 'width': None}]",AAAASt+HqL/0zO/rIFqwOAdVlkRYAJQl
3FqsB57cnoY16MUGiv399z,06 23,getting comfortable,75,https://api.spotify.com/v1/playlists/3FqsB57cnoY16MUGiv399z,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84402b80ea9383716a59e53ed0', 'width': None}]",AAAAU8UK+9LbK4b16b+I5dAO0pA2ipbn
7BewtLVUGyysFM46VqMjva,05 23,vibeulator,64,https://api.spotify.com/v1/playlists/7BewtLVUGyysFM46VqMjva,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da849f39805b183e93d3e1ce657f', 'width': None}]",AAAAUWPBsl2PC2jtuWhdUZdxyftHvebG
07LBtZR9Svegjy8Vi51CTj,04 23,sore,75,https://api.spotify.com/v1/playlists/07LBtZR9Svegjy8Vi51CTj,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d7981c6aec8299a41f534375', 'width': None}]",AAAAUhGmlEM1ujge+kf7bPFgOJcqyLY9
79CXJhRxqMLshmJZwl9uqy,03 23,having your cake and eating it anyway (yum yum yum),122,https://api.spotify.com/v1/playlists/79CXJhRxqMLshmJZwl9uqy,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842605270803bb25f0627fcdfe', 'width': None}]",AAAAhfUwPC3wWBYT461rV2hnIvj+K+P6
0AI2CPsf6xuMvzdSAlPn1P,02 23,catchin up,61,https://api.spotify.com/v1/playlists/0AI2CPsf6xuMvzdSAlPn1P,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d5a159886ba0e7c671d8f31b', 'width': None}]",AAAASO6P40rKTXjZzZZ8aN1JFjaygXRZ
44nFuJqeXWOb9xD3LCFp2c,01 23,"look mum, no hands!",139,https://api.spotify.com/v1/playlists/44nFuJqeXWOb9xD3LCFp2c,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842f2d5d21aea2a5f760c5c549', 'width': None}]",AAAAmP5DH/KuNEMLWEkutj6yIGfGCHd4
4k7RTxBhNonNd5hjHQ3meO,dec 22,swimming downstream,125,https://api.spotify.com/v1/playlists/4k7RTxBhNonNd5hjHQ3meO,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844892f101ee02c1f8a40fc9d9', 'width': None}]",AAAAiYaCkiLchlbcoOevQOM1hT+6uaKq
3eVxexDgpQgwkCroCzsfzq,nov 22,neely: unplugged,89,https://api.spotify.com/v1/playlists/3eVxexDgpQgwkCroCzsfzq,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84743e3a17e88c8b1b9f5eca60', 'width': None}]",AAAAaS3QHObXY/0QOtCfG9C9zsk5BOUu
2YZMSqt5QG7cltBEUzYNzO,oct 22,chutzpah!!,104,https://api.spotify.com/v1/playlists/2YZMSqt5QG7cltBEUzYNzO,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a43ca345c032d00eaabade97', 'width': None}]",AAAAeiP47qo3oA8xSxy1IjAMxOh3fby0
29ztgRBeB7XG1q8MEGPEb1,sep 22,pinkies out,50,https://api.spotify.com/v1/playlists/29ztgRBeB7XG1q8MEGPEb1,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8466a57d0348173bb9bf0e9d09', 'width': None}]",AAAAN+FRx95BuTJnc+VMwATz6E5Hm5v0
49pZ6GVRAipWwxxtJevQni,aug 22,get real!,100,https://api.spotify.com/v1/playlists/49pZ6GVRAipWwxxtJevQni,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f6d312a47aaeb2a844e9f545', 'width': None}]",AAAAbVzENcuxfCWZQ90/Kqb/AjX3enru
1DqofdJ6cFi58tiXtuNQ68,jul 22,absolutley clueless,151,https://api.spotify.com/v1/playlists/1DqofdJ6cFi58tiXtuNQ68,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d7e58a58685693213aa3b643', 'width': None}]",AAAAo0pXFMbUVRpkqqZhRcIBjj9eGNjb
1hHOPTlCjTEpgPXi6YPkAQ,jun 22,highlight reel,87,https://api.spotify.com/v1/playlists/1hHOPTlCjTEpgPXi6YPkAQ,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84735aa4cab3405a06dc9d8fe0', 'width': None}]",AAAAVC8WWLszSQeh34lojDIzLHvXlTfO
1eDBlDLtNQsxj84fl71DYD,may 22,OverThinking!,50,https://api.spotify.com/v1/playlists/1eDBlDLtNQsxj84fl71DYD,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84555eecc7a019a9c393f88470', 'width': None}]",AAAANhj8JYcSAiXEQtWbsZoMAdBpzMHA
4A0HYtjKfO72Te5vz2qz5i,apr 22,pov: you are φ4 scalar theory,93,https://api.spotify.com/v1/playlists/4A0HYtjKfO72Te5vz2qz5i,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84839929e12fd392b5d55656cf', 'width': None}]",AAAAbpxHxaJhJkXfT8ayFl5F0fouESzf
7ujQqv3kISybOxENmfbQiK,mar 22,oh..,87,https://api.spotify.com/v1/playlists/7ujQqv3kISybOxENmfbQiK,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84593ee03ae424994414fcb14c', 'width': None}]",AAAAZfHvRIjppzWSjU8fLFJlMNXXhZOt
50k1988Ey779tICEI2Likg,feb 22,"the answer, my friend, is floppin in the wind",151,https://api.spotify.com/v1/playlists/50k1988Ey779tICEI2Likg,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84755a48d77cdabd442001d917', 'width': None}]",AAAAq3UM4jnQIFOVnlfi6JyG7JjTHVii
09nn41J9CCxTvz9P4UZwip,jan 22,year of the t,78,https://api.spotify.com/v1/playlists/09nn41J9CCxTvz9P4UZwip,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8405e786d79ebc4b29513fcf6e', 'width': None}]",AAAAV3/IQ8z6I2drwk/XAWXFhg8R/eer
5ksAwFvIIfPpvDnOss6lGH,december 2021,uh oh (uh oh),125,https://api.spotify.com/v1/playlists/5ksAwFvIIfPpvDnOss6lGH,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8472af72b39384f4884039c2b5', 'width': None}]",AAAAjWEKdHTZIilcyOGIWAvBQ8RWKbrA
6AsVT9Jr7xvNBEeiqfd2tL,november 2021,freewheeling,40,https://api.spotify.com/v1/playlists/6AsVT9Jr7xvNBEeiqfd2tL,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8440c9d592ee9b56209749b6d1', 'width': None}]",AAAAMD0COICGROfOT6xKlJrbDrkeGPOY
5ccKWpcALnAfvBEh2TzYPn,october 2021,needs and wants,60,https://api.spotify.com/v1/playlists/5ccKWpcALnAfvBEh2TzYPn,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84f9d569c352b2c13789f7e789', 'width': None}]",AAAATvJtxd8okOd+TXfi7fDrdRuL7O1w
3I9ZJARDZEeNQIRnLUQBEm,september 2021,im out,43,https://api.spotify.com/v1/playlists/3I9ZJARDZEeNQIRnLUQBEm,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fa5ccfe284f007e5d538cb66', 'width': None}]",AAAAMwFwhDXVlCiMxnOF4nYCCpxpaOvm
6MVjZHdvsfay94fOA9A4cR,august 2021,trails and tribulations,100,https://api.spotify.com/v1/playlists/6MVjZHdvsfay94fOA9A4cR,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f3dacb802de00cd74d5dcb05', 'width': None}]",AAAAbuiR0j78AjK+DXTqb3diteEgrZZ4
1jcIdkVD9KJop8vnEqpqbN,july 2021,tired?,91,https://api.spotify.com/v1/playlists/1jcIdkVD9KJop8vnEqpqbN,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8405a192208ec53c864bc2c200', 'width': None}]",AAAAY8fFzBOdatvlgFfXesPC/Bfuuxjg
1OUtO2h6KKY96BUnUXDRII,june 2021,rules and regs,73,https://api.spotify.com/v1/playlists/1OUtO2h6KKY96BUnUXDRII,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8482ae288df6e11c20127d2494', 'width': None}]",AAAAVuAShOP1fIsKb3CkQuiRxYSb+j8q
0h9sZPt0yVyeiP38x8hidw,may 2021,aaaahhhhhhhh,106,https://api.spotify.com/v1/playlists/0h9sZPt0yVyeiP38x8hidw,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841ba9858932e7cfc14651330b', 'width': None}]",AAAAYhCm5fxd3SsXDRK/5fjIMObRZikD
6u9tCsmRVUwHXAsHMJjoRt,april 2021,quantity over quality,78,https://api.spotify.com/v1/playlists/6u9tCsmRVUwHXAsHMJjoRt,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844455371d5df4132472b605c6', 'width': None}]",AAAAYygpFkuI6jK50pYYZ1BIhuWmT5ld
54hfblkquqcPnJIa1jb7eL,march 2021,trending upwards,108,https://api.spotify.com/v1/playlists/54hfblkquqcPnJIa1jb7eL,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8430801f32be442e600aaf06b8', 'width': None}]",AAAAd1ZRxu8jWEq8HjgSKdvhHPEA1Fmv
1SUcDtDvc5DR6YXKGYX3I6,february 2021,time to breathe,104,https://api.spotify.com/v1/playlists/1SUcDtDvc5DR6YXKGYX3I6,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848cccfa48295a779ae6c3ea88', 'width': None}]",AAAAb6DHu/Uk2ns1kLN9woQE9EDMbKLw
7IrebpZOrY5hr7mlKjUeuf,january 2021,come on where&#x27;s your wartime spirit,38,https://api.spotify.com/v1/playlists/7IrebpZOrY5hr7mlKjUeuf,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8422901a61b0ca74d2b5415b95', 'width': None}]",AAAAL2+z9nz8Z6sQMxW/dI1RGgX/C+om
2wz3nhmxLrauuFziiqGJ1q,december 2020,µouu,74,https://api.spotify.com/v1/playlists/2wz3nhmxLrauuFziiqGJ1q,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84166bf7a57a0dba8425d837ab', 'width': None}]",AAAAVZDgEricV0/sdCh/VE7NB9B+jind
0yZd55OGlowRY1YG6ahcOV,november 2020,framilode dreamin,56,https://api.spotify.com/v1/playlists/0yZd55OGlowRY1YG6ahcOV,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84795e24e4d77e0e3aaa2fb96d', 'width': None}]",AAAAQCtOmUmuRRIceUE7bW7NHhL15OFS
6NkN88BPQ7QMFJQxNPdCTW,october 2020,goddamn just look at this guy,30,https://api.spotify.com/v1/playlists/6NkN88BPQ7QMFJQxNPdCTW,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84cd8270592ec83c9eb0ddbadf', 'width': None}]",AAAAKIUr4eE65qKD3fRpoP5BGnWB+tJT
3mXtpK60rSBethJfriW6ic,september 2020,ah um uh ok,17,https://api.spotify.com/v1/playlists/3mXtpK60rSBethJfriW6ic,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84012c1883347a4873b3da739b', 'width': None}]",AAAAFXrMB/xtCJHH5mTAWHeZYtlVjLIq
66P2KW1bXZo5nXSUxQJtCI,august 2020,warming up the engine,14,https://api.spotify.com/v1/playlists/66P2KW1bXZo5nXSUxQJtCI,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84c01388c6e4a6a5c1086d5e93', 'width': None}]",AAAAEg5cRupLlm5bn8PJA/6u97XzlXO+
6aStddcpRoyfjsT0hIiFdA,july 2020,unlocked but still down,7,https://api.spotify.com/v1/playlists/6aStddcpRoyfjsT0hIiFdA,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a38c691f9621a6ded2ca971d', 'width': None}]",AAAAEkRgjS+FyrfWeJD0dvefiq7UubRZ
4DA9RKokuFEES84rWQouck,june 2020,im a neely get me out of here,18,https://api.spotify.com/v1/playlists/4DA9RKokuFEES84rWQouck,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8443013aafeb7af02277f969b0', 'width': None}]",AAAAFWw2TwpblwSU/CSqz5k+peT3OjjY
2fhS8c9cBKTbyncd1Jnk6E,may 2020,one (1) singular 744 hour long day,12,https://api.spotify.com/v1/playlists/2fhS8c9cBKTbyncd1Jnk6E,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da840e82a482383ac54f247922da', 'width': None}]",AAAAFbp8cKiSNU1geHx4vL9YQTT7dj/7
74KhnMdQiznx6GiDQWHfUw,april 2020,self isolatunage,21,https://api.spotify.com/v1/playlists/74KhnMdQiznx6GiDQWHfUw,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84c13315f60f998ff42a964f28', 'width': None}]",AAAAG/MXS2MtfT0uz3TE9imIU/Uf00AR
1a0AUkkIl1fO12xAiKEdTm,march 2020,cor oh no ,18,https://api.spotify.com/v1/playlists/1a0AUkkIl1fO12xAiKEdTm,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8412104c0e40eb38c618517e7d', 'width': None}]",AAAAHrhBdkIx0g7vbS1GXT7/PzREWWwo
2gVTTicjh7PQVkbAEhGR0J,february 2020,look ive been busy ok,19,https://api.spotify.com/v1/playlists/2gVTTicjh7PQVkbAEhGR0J,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da840ef0905435df4b3bb18d991e', 'width': None}]",AAAAHS8A4nG9gMcei02MNUzHfGVTgs03
5mLFsQoQ98oB5EdJccg1aG,january 2020,oh hey would you look at that,8,https://api.spotify.com/v1/playlists/5mLFsQoQ98oB5EdJccg1aG,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f3a48714c221b9f9a33e0f0f', 'width': None}]",AAAADSyO+XFo17up9IfXo1oH7XMTyxvN
17kRXl35rmDfL4l6S1LQcq,december 2019,feeling ever so jolly,15,https://api.spotify.com/v1/playlists/17kRXl35rmDfL4l6S1LQcq,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8465e43fc93681738f6d385761', 'width': None}]",AAAAGGDFfGiDUHwlEqyugJwu80829ndD
6pRmf0oZYybgxs1miZAG96,november 2019,figuring out whats important,17,https://api.spotify.com/v1/playlists/6pRmf0oZYybgxs1miZAG96,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8450d1b93aca48605d12944ab2', 'width': None}]",AAAAGaRz29PFa2PRNa4AlhkSLgMnvRvs
5O6apJjIudvvKwy8KQjJe6,october 2019,city wide sleeping tour,32,https://api.spotify.com/v1/playlists/5O6apJjIudvvKwy8KQjJe6,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84a791d6866910c674b224d8d6', 'width': None}]",AAAAKmXs/h9NvTGmS/UBud7TCdA9JTR6
0hQmwugyq3PJZqhJZpKHxw,september 2019,prorogue summer,8,https://api.spotify.com/v1/playlists/0hQmwugyq3PJZqhJZpKHxw,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84046b92110a8bb8158ea6a8c6', 'width': None}]",AAAAELWBu3xAowUKiXJr5t/7dEe69RAq
7jTRO3ZfA1hfuwsQpbcnCO,august 2019,taking it slow,8,https://api.spotify.com/v1/playlists/7jTRO3ZfA1hfuwsQpbcnCO,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84352b9b6cd86e9e1ab88837e3', 'width': None}]",AAAAFH3mteuWfDO/D9hAX5Vvjczksi1V
3lw24qhoraIPbN79Oe7vmG,july 2019,minor turbulence,11,https://api.spotify.com/v1/playlists/3lw24qhoraIPbN79Oe7vmG,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b688564a41fa92dd0a2c1080', 'width': None}]",AAAAE/AQtXBdPHGdi+ry7zE8vJBKa545
4O0PE6H5RvI2hBgDlYAlYc,june 2019,but i dont WANT to leave,9,https://api.spotify.com/v1/playlists/4O0PE6H5RvI2hBgDlYAlYc,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e25a133aa34347475d4bf6ff', 'width': None}]",AAAAEEQ//6p6LetxM9ypQcK3vY9V/qgq
4RXqBX7GmshFH6AlC6CPZR,may 2019,demonstrating my excellence ,14,https://api.spotify.com/v1/playlists/4RXqBX7GmshFH6AlC6CPZR,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f9f1ef4ef042a6b78bdeb98a', 'width': None}]",AAAAF8zBzmxy2bE5gT/lYXsZZrrwwFWl
5BGMfJgjp0dq4ZUnlHVhya,april 2019,grade sweatshop,34,https://api.spotify.com/v1/playlists/5BGMfJgjp0dq4ZUnlHVhya,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8416141815c1052a0f255cf899', 'width': None}]",AAAAOeJRUNnv880/ZoQnDs6nmfUAYnrn
7wRcixzy7297A5iy8BiuaU,march 2019 🎈,boy i love my friends,30,https://api.spotify.com/v1/playlists/7wRcixzy7297A5iy8BiuaU,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8463af55fe6880beb75b47efc7', 'width': None}]",AAAAMFZUGWPJSPqpgb2Mx6zBzrjv7z5/
0TSNbgf9Bx7NvEzqH90AIS,february 2019,back to it,25,https://api.spotify.com/v1/playlists/0TSNbgf9Bx7NvEzqH90AIS,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84c24785bafc16ac986cfc866f', 'width': None}]",AAAAIrf12SjYLgnoeiDF+u9pdxUkl4Yo
0EeuF7Bcy3rU9S42H4x2lI,january 2019,con?used,34,https://api.spotify.com/v1/playlists/0EeuF7Bcy3rU9S42H4x2lI,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da845e2ca23126f492fa15e9a4e3', 'width': None}]",AAAAOWNyNQL0jz7x1S0qIy6tRr0nob1d
4f1KhuuVy3CA5UDrmN4ZNa,december 2018 ⛄️,mull it over,22,https://api.spotify.com/v1/playlists/4f1KhuuVy3CA5UDrmN4ZNa,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8492bcea1fa369629349696c0c', 'width': None}]",AAAAJINC4itqAB9d+LMOAJoWTFwjl7cm
